,name,cluster_id
0,Anastase Murekezi,0
1,Alexis Nzahabwanimana,0
2,Anastase Shyaka,0
3,Daniel Ngamije,1
4,Diane Gashumba,2
5,Clare Akamanzi,2
6,Diane Rwigara,3
7,Bernard Makuza,4
8,Diane Shima Rwigara,5
9,Donatille Mukabalisa,4
10,Edouard Ngirente,6
11,Evode Imena,0
12,Evode Uwizeyimana,7
13,Francis Gatare,0
14,Donald Kaberuka,2
15,Francis Kaboneka,0
16,Francois Kanimba,0
17,Frank Habineza,0
18,Charles Munyaneza,8
19,Geraldine Mukeshimana,6
20,Gerardine Mukeshimana,2
21,Gilbert Mwenedata,9
22,Ignatius Ssuuna,10
23,Gonza Muganwa,11
24,Isaac Munyakazi,7
25,Jack Kayonga,12
26,Ben Gasore,12
27,Celestin Rwabukumba,12
28,James Karuhanga,2
29,James Musoni,2
30,Claver Gatete,2
31,Jean Bosco Mugiraneza,13
32,Jean Claude Ntezimana,0
33,Jean Philbert Nsengimana,0
34,Jeannette Kagame,14
35,John Rwangombwa,2
36,Johnston Busingye,15
37,Judith Uwizeye,0
38,Juvenal Nkusi,16
39,Juvenal Habyarimana,16
40,Kalisa Mbanda,17
41,Kizito Mihigo,14
42,Lady Jeannette Kagame,4
43,Louise Mushikiwabo,0
44,Mark Cyubahiro Bagabe,18
45,Obadiah Biraro,19
46,Paul Kagame,6
47,Agnes Binagwaho,20
48,Collins Mwai,21
49,Edmund Kagire,6
50,Maurice Toroitich,2
51,Patrick Nyirishema,22
52,Paul Kagame Paulkagame,23
53,Paul Rusesabagina,4
54,Paula Ingabire,2
55,Peterson Tumwebaze,24
56,Philippe Mpayimana,25
57,Richard Muhumuza,26
58,Richard Sezibera,2
59,Benjamin Gasamagera,27
60,Richard Tusabe,28
61,Robert Bayigamba,29
62,Robert Mathu,12
63,Rosemary Mbabazi,7
64,Sharon Kantengwa,30
65,Louise Umutoni,30
66,Theoneste Karenzi,31
67,Tony Nsanganira,32
68,Uzziel Ndagijimana,6
69,Victoire Ingabire,33
70,Vincent Biruta,6
71,Vincent Munyeshyaka,2
